episode,rewards,lengths,successes
429,-21.0,42,True
430,-73.0,67,True
431,8.0,13,True
432,-178.0,136,True
433,-194.0,152,True
434,-116.0,101,True
435,-245.0,200,False
436,3.0,18,True
437,-161.0,155,True
438,-172.0,130,True
439,-31.0,43,True
440,-34.0,37,True
441,-101.0,68,True
442,-87.0,99,True
443,-186.0,180,True
444,-99.0,75,True
445,-99.0,93,True
446,-103.0,97,True
447,-53.0,47,True
448,8.0,13,True
449,-146.0,122,True
450,-4.0,16,True
451,-47.0,68,True
452,-49.0,61,True
453,-157.0,133,True
454,12.0,9,True
455,-218.0,200,False
456,-44.0,38,True
457,-37.0,49,True
458,-2.0,23,True
459,6.0,15,True
460,-127.0,121,True
461,-263.0,200,False
462,-53.0,56,True
463,-30.0,42,True
464,-75.0,51,True
465,-7.0,19,True
466,-9.0,21,True
467,-12.0,24,True
468,-35.0,20,True
469,-45.0,66,True
470,-1.0,22,True
471,-77.0,80,True
472,-209.0,200,False
473,-156.0,132,True
474,-21.0,33,True
475,-81.0,84,True
476,-72.0,75,True
477,-47.0,59,True
478,-65.0,59,True
479,-82.0,94,True
480,-138.0,123,True
481,-70.0,73,True
482,-76.0,61,True
483,-62.0,74,True
484,-83.0,68,True
485,-115.0,100,True
486,-63.0,75,True
487,-104.0,89,True
488,-16.0,37,True
489,-175.0,151,True
490,-134.0,128,True
491,-72.0,75,True
492,-81.0,84,True
493,-91.0,85,True
494,9.0,12,True
495,11.0,10,True
496,-4.0,16,True
497,-4.0,25,True
498,-44.0,56,True
499,-81.0,75,True
500,-9.0,30,True
501,-32.0,53,True
502,-205.0,199,True
503,-158.0,143,True
504,-193.0,178,True
505,12.0,9,True
506,-131.0,143,True
507,2.0,10,True
508,-17.0,29,True
509,-43.0,64,True
510,-160.0,154,True
511,-10.0,31,True
512,1.0,11,True
513,-48.0,51,True
514,-62.0,47,True
515,-56.0,59,True
516,-13.0,34,True
517,-215.0,182,True
518,8.0,13,True
519,10.0,11,True
520,-56.0,59,True
521,-65.0,68,True
522,-71.0,83,True
523,-19.0,40,True
524,-178.0,181,True
525,7.0,14,True
526,-144.0,129,True
527,-86.0,98,True
528,-82.0,76,True
529,-81.0,84,True
530,-158.0,143,True
531,-38.0,59,True
532,-109.0,103,True
533,-57.0,60,True
534,-70.0,73,True
535,11.0,10,True
536,-130.0,133,True
537,-97.0,82,True
538,-122.0,125,True
539,-62.0,83,True
540,-120.0,105,True
541,-47.0,59,True
542,-45.0,66,True
543,-52.0,64,True
544,-71.0,83,True
545,-110.0,113,True
546,-100.0,85,True
547,-61.0,73,True
548,-7.0,28,True
549,9.0,12,True
550,-10.0,22,True
551,-142.0,154,True
552,-52.0,73,True
553,-95.0,107,True
554,-5.0,26,True
555,-47.0,68,True
556,-162.0,129,True
557,3.0,18,True
558,-107.0,119,True
559,-41.0,62,True
560,-50.0,62,True
561,-51.0,63,True
562,-21.0,42,True
563,-177.0,180,True
564,-1.0,22,True
565,-124.0,127,True
566,-2.0,14,True
567,-21.0,33,True
568,-4.0,25,True
569,-14.0,35,True
570,0.0,12,True
571,-39.0,51,True
572,-13.0,16,True
573,-58.0,61,True
574,12.0,9,True
575,-133.0,118,True
576,-62.0,83,True
577,-7.0,19,True
578,-49.0,61,True
579,9.0,12,True
580,-24.0,45,True
581,-171.0,165,True
582,-47.0,68,True
583,-116.0,101,True
584,11.0,10,True
585,-100.0,112,True
586,-34.0,37,True
587,14.0,7,True
588,-97.0,109,True
589,-6.0,18,True
590,3.0,18,True
591,12.0,9,True
592,-5.0,26,True
593,9.0,12,True
594,2.0,19,True
595,-30.0,51,True
